"year" "mission" "path" "pattern"
2019 "BCD2019666" "\\ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/2010s/2019/BCD2019666/CTD/" "^D.*\.ODF$"
2020 "BCD2020666" "\\ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/2020s/2020/BCD2020666/CTD/" "^D.*\.ODF$"
2020 "AMU2020001" "\\ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/2020s/2020/AMU2020001/CTD/ctdprocess/ODF" "^D.*\.ODF$"
2021 "BCD2021666" "\\ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/2020s/2021/BCD2021666/CTD/ORIGINAL" "^D.*\.ODF$"
2021 "NED2021008" "\\ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/2020s/2021/NED2021008/CTD/ORIGINAL" "^D.*\.ODF$"
2021 "CAR2021221" "\\ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/2020s/2021/CAR2021221/CTDDATA/Rosette" "^D.*\.ODF$"
2021 "CAR2021221" "\\ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/2020s/2021/CAR2021221/CTDDATA/Standalone" "^D.*\.ODF$"
2022 "BCD2022666" "\\dcnsbiona01a/BIODataSvc/SRC/2020s/2022/BCD2022666/CTD/DATASHOP_PROCESSING/Step_5_Run_Automated_Checks" "^CTD_\w+_\w+_\w+_DN\.ODF$"
2023 "BCD2023666" "\\dcnsbiona01a/BIODataSvc/SRC/2020s/2023/BCD2023666/CTD/DATASHOP_PROCESSING/Step_5_Run_Automated_Checks" "^CTD_\w+_\w+_\w+_DN\.ODF$"
2023 "CAR2023300" "\\ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/2020s/2023/CAR2023300/CTD/CTDDATA_Standalone" "^D.*\.ODF$"
2023 "CAR2023300" "\\ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/2020s/2023/CAR2023300/CTD/CTDDATA_Rosette" "^D.*\.ODF$"
2024 "BCD2024666" "\\ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/2020s/2024/BCD2024666/CTD" "^D.*\.ODF$"
2024 "CAR2024400" "\\ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/2020s/2024/CAR2024400/CTD/Rosette/ODF" "^D.*\.ODF$"
2024 "CAR2024400" "\\ent.dfo-mpo.ca/ATLShares/Science/BIODataSvc/SRC/2020s/2024/CAR2024400/CTD/Standalone_CTD" "^D.*\.ODF$"
